County,First_FPC_Score
"Mendocino, California, US",1.0484606488878456
"Merced, California, US",34.49602114187467
"Modoc, California, US",-13.985924251080355
"Mono, California, US",-22.221427019815568
"Monterey, California, US",36.28055622970923
"Napa, California, US",10.162269118142648
"Nevada, California, US",-6.918667914896057
"Orange, California, US",69.23458748965257
"Placer, California, US",19.492548257232958
"Plumas, California, US",-15.336398750438434
"Riverside, California, US",69.7820570280904
"Sacramento, California, US",48.73329336328803
"San Benito, California, US",1.699873479972104
"San Bernardino, California, US",70.84989780703117
"San Diego, California, US",68.32654927313008
"San Francisco, California, US",40.56030892612769
"San Joaquin, California, US",45.94587828146346
"San Luis Obispo, California, US",21.170398907457173
"San Mateo, California, US",40.25240786599227
"Santa Barbara, California, US",39.73260412638788
"Santa Clara, California, US",48.700298839369246
"Santa Cruz, California, US",11.927849955964772
"Shasta, California, US",4.6362929094563
"Sierra, California, US",-34.47049835389241
"Siskiyou, California, US",-23.43192636921052
"Solano, California, US",27.25579797514284
"Sonoma, California, US",31.768457054087012
"Stanislaus, California, US",43.398209171034004
"Sutter, California, US",7.689063088671971
"Tehama, California, US",16.83851128814326
"Trinity, California, US",-21.505182900771274
"Tulare, California, US",47.2250662928371
"Tuolumne, California, US",9.193352316834048
"Ventura, California, US",43.925197934213834
"Yolo, California, US",16.648540258464898
"Yuba, California, US",-0.4515772935510132
"Adams, Colorado, US",45.39697397808347
"Alamosa, Colorado, US",-12.501210005654237
"Arapahoe, Colorado, US",47.34759193762259
"Archuleta, Colorado, US",-40.07822468270363
"Baca, Colorado, US",-50.90449086779145
"Bent, Colorado, US",-4.34851305441825
"Boulder, Colorado, US",27.76011527483346
"Broomfield, Colorado, US",2.5907104565540706
"Chaffee, Colorado, US",-13.004367643461197
"Cheyenne, Colorado, US",-51.85254830014091
"Clear Creek, Colorado, US",-41.10326481137175
"Conejos, Colorado, US",-24.2857254093875
"Costilla, Colorado, US",-35.25184335664548
"Crowley, Colorado, US",-8.346398471548325
"Custer, Colorado, US",-29.458833489403162
"Delta, Colorado, US",-14.852006294202866
"Denver, Colorado, US",51.9268374312774
"Dolores, Colorado, US",-13.792781725222701
"Douglas, Colorado, US",24.66591924286157
"Eagle, Colorado, US",11.640797748563708
"El Paso, Colorado, US",41.89609810190586
"Elbert, Colorado, US",-20.912590956732657
"Fremont, Colorado, US",-8.45776665832068
"Garfield, Colorado, US",3.724509227046441
"Gilpin, Colorado, US",-38.52387988511535
"Grand, Colorado, US",-27.418467219522018
"Gunnison, Colorado, US",-13.817564354913726
"Hinsdale, Colorado, US",-31.393062585879246
"Huerfano, Colorado, US",-23.987919708945423
"Jackson, Colorado, US",-48.14303352569286
"Jefferson, Colorado, US",38.53851914120367
"Kiowa, Colorado, US",-22.346760628427653
"Kit Carson, Colorado, US",-30.99089350678655
"La Plata, Colorado, US",-10.315155067103547
"Lake, Colorado, US",-26.569061177384697
"Larimer, Colorado, US",24.254590514192397
"Las Animas, Colorado, US",-26.573312013016313
"Lincoln, Colorado, US",-10.58045753450194
"Logan, Colorado, US",8.825645304316264
"Mesa, Colorado, US",0.4408657916959154
"Mineral, Colorado, US",-44.35197712002306
"Moffat, Colorado, US",-35.94204476314872
"Montezuma, Colorado, US",-19.19638676818253
"Montrose, Colorado, US",-4.720963577212505
"Morgan, Colorado, US",9.153892708043415
"Otero, Colorado, US",-24.95743080342134
"Ouray, Colorado, US",-47.73933498737333
"Park, Colorado, US",-36.34052162227461
"Phillips, Colorado, US",-41.43236122239989
"Pitkin, Colorado, US",-20.579257520689612
"Prowers, Colorado, US",-17.033912189749284
"Pueblo, Colorado, US",15.753174100066063
"Rio Blanco, Colorado, US",-18.266032092132853
"Rio Grande, Colorado, US",-31.37938685522636
"Routt, Colorado, US",-19.617132718442694
"Saguache, Colorado, US",-20.278668021090436
"San Juan, Colorado, US",-37.34343408075291
"San Miguel, Colorado, US",-31.348263742375302
"Sedgwick, Colorado, US",-30.25100912925441
"Summit, Colorado, US",-3.7018626514243045
"Teller, Colorado, US",-22.862449046380387
"Washington, Colorado, US",-31.809747850931434
"Weld, Colorado, US",38.11349872116614
"Yuma, Colorado, US",-22.389697231225718
"Fairfield, Connecticut, US",63.73835479632284
"Hartford, Connecticut, US",58.173936758408374
"Litchfield, Connecticut, US",22.538954815413415
"Middlesex, Connecticut, US",20.270437815485845
"New Haven, Connecticut, US",59.22852766997394
"New London, Connecticut, US",25.537895038228395
"Tolland, Connecticut, US",16.47194427848744
"Windham, Connecticut, US",12.413498423939528
"Kent, Delaware, US",27.025169652780615
"New Castle, Delaware, US",45.9750619298861
"Sussex, Delaware, US",42.273627638914455
"District of Columbia,District of Columbia,US",55.33293365069428
"Alachua, Florida, US",31.665922994248326
"Baker, Florida, US",-2.9701961709943494
"Bay, Florida, US",25.440461296516908
"Bradford, Florida, US",-1.5635350787961606
"Brevard, Florida, US",36.22758686813498
"Broward, Florida, US",73.81664796841405
"Calhoun, Florida, US",-6.429360392128219
"Charlotte, Florida, US",23.540226957747098
"Citrus, Florida, US",13.506646782576174
"Clay, Florida, US",26.951178496854464
"Collier, Florida, US",42.938577101163915
"Columbia, Florida, US",21.07053133207245
"DeSoto,Florida,US",7.787064570618423
"Dixie, Florida, US",-1.8023169829679162
"Duval, Florida, US",56.80358945933497
"Escambia, Florida, US",42.72966111890205
"Flagler, Florida, US",10.077675802616612
"Franklin, Florida, US",10.900519627805519
"Gadsden, Florida, US",18.8111443304552
"Gilchrist, Florida, US",-4.601992684092837
"Glades, Florida, US",-8.912217369437597
"Gulf, Florida, US",11.942973712960214
"Hamilton, Florida, US",4.8923679868841345
"Hardee, Florida, US",12.062015597475975
"Hendry, Florida, US",17.098242110069847
"Hernando, Florida, US",15.590958937725237
"Highlands, Florida, US",12.876451545713504
"Hillsborough, Florida, US",62.575486204050385
"Holmes, Florida, US",-1.9243364164063093
"Indian River, Florida, US",17.670323379067252
"Jackson, Florida, US",18.622860865052996
"Jefferson, Florida, US",-9.919073567513605
"Lafayette, Florida, US",1.976918516926878
"Lake, Florida, US",32.56371369988104
"Lee, Florida, US",51.138139512098434
"Leon, Florida, US",34.69407303731703
"Levy, Florida, US",0.1596287375860284
"Liberty, Florida, US",0.2637495828087894
"Madison, Florida, US",0.5823536175088612
"Manatee, Florida, US",40.87245696339604
"Marion, Florida, US",33.780222622979856
"Martin, Florida, US",29.61495020389822
"Miami-Dade, Florida, US",89.25129223301528
"Monroe, Florida, US",10.727289143183794
"Nassau, Florida, US",9.329253966873242
"Okaloosa, Florida, US",24.527191720275187
"Okeechobee, Florida, US",7.858783117806492
"Orange, Florida, US",62.32905651296039
"Osceola, Florida, US",40.85094033178865
"Palm Beach, Florida, US",66.37325436800181
"Pasco, Florida, US",35.69939237397403
"Pinellas, Florida, US",52.802055380001846
"Polk, Florida, US",48.789176966806615
"Putnam, Florida, US",12.056358745117683
"Santa Rosa, Florida, US",26.690755772075654
"Sarasota, Florida, US",35.21631982255092
"Seminole, Florida, US",36.53243271305939
"St. Johns, Florida, US",27.444982403570098
"St. Lucie, Florida, US",34.5678892485084
"Sumter, Florida, US",14.987499641366327
"Suwannee, Florida, US",17.326184816564073
"Taylor, Florida, US",12.911400611021943
"Union, Florida, US",1.169615823202779
"Volusia, Florida, US",37.542734265136716
"Wakulla, Florida, US",-1.4370941252447027
"Walton, Florida, US",9.305567766680975
"Washington, Florida, US",2.194226862533255
"Appling, Georgia, US",3.2851578528459098
"Atkinson, Georgia, US",-8.8469396410841
"Bacon, Georgia, US",-6.134539926829143
"Baker, Georgia, US",-35.07251016805134
"Baldwin, Georgia, US",15.587645977918074
"Banks, Georgia, US",-6.626898872202129
"Barrow, Georgia, US",16.24176490449819
"Bartow, Georgia, US",19.610840342848793
"Ben Hill, Georgia, US",-2.787302926565293
"Berrien, Georgia, US",-9.038076013895354
"Bibb, Georgia, US",29.626501910932898
"Bleckley, Georgia, US",-9.154370996293705
"Brantley, Georgia, US",-10.473076925388751
"Brooks, Georgia, US",-7.489194968551661
"Bryan, Georgia, US",-0.17679271459412702
"Bulloch, Georgia, US",13.411373474761596
"Burke, Georgia, US",-1.1573017565596835
"Butts, Georgia, US",-0.06246898346371395
"Calhoun, Georgia, US",-16.11790468298047
"Camden, Georgia, US",2.6157697647406324
"Candler, Georgia, US",-13.897233524315666
"Carroll, Georgia, US",22.065165703395778
"Catoosa, Georgia, US",6.547472971463354
"Charlton, Georgia, US",-7.395864841649099
"Chatham, Georgia, US",34.40115725893863
"Chattahoochee, Georgia, US",8.21328639846978
"Chattooga, Georgia, US",-5.774025234753174
"Cherokee, Georgia, US",30.01967281479923
"Clarke, Georgia, US",21.595488424925616
"Clay, Georgia, US",-31.852934301818614
"Clayton, Georgia, US",34.88442948993074
"Clinch, Georgia, US",-12.735516280606852
"Cobb, Georgia, US",50.305503798720565
"Coffee, Georgia, US",15.333191862484423
"Colquitt, Georgia, US",16.474709279913082
"Columbia, Georgia, US",22.58334492280671
"Cook, Georgia, US",-5.698887101985686
"Coweta, Georgia, US",19.052169152171956
"Crawford, Georgia, US",-23.879795222176195
"Crisp, Georgia, US",-1.4732136348176332
"Dade, Georgia, US",-14.957453647687844
"Dawson, Georgia, US",-2.2738130411681015
"DeKalb, Georgia, US",51.75954656630509
"Decatur, Georgia, US",4.544530224095815
"Dodge, Georgia, US",-9.195100868877901
"Dooly, Georgia, US",-9.694712865113987
"Dougherty, Georgia, US",26.669488667822492
"Douglas, Georgia, US",25.47979340448151
"Early, Georgia, US",-4.691020252291989
"Echols, Georgia, US",-15.098418631554589
"Effingham, Georgia, US",4.089845217688713
"Elbert, Georgia, US",-1.632376225596621
"Emanuel, Georgia, US",-1.5351031290900978
"Evans, Georgia, US",-7.205580178437455
"Fannin, Georgia, US",-8.151657559614419
"Fayette, Georgia, US",9.465089713327044
"Floyd, Georgia, US",16.63366778198433
"Forsyth, Georgia, US",26.100472234528826
"Franklin, Georgia, US",0.7127666182893474
"Fulton, Georgia, US",56.136699867504376
